,0
813,0
814,0
815,1
816,0
817,1
818,0
819,1
820,1
821,0
822,1
823,0
824,1
825,1
826,0
827,1
828,1
829,0
830,1
831,0
832,1
833,1
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,1
843,0
844,0
845,1
846,1
847,0
848,1
849,1
850,0
851,1
852,1
853,0
854,1
855,0
856,0
857,1
858,0
859,1
860,1
861,0
862,0
863,0
864,1
865,0
866,1
867,0
868,1
869,1
870,0
871,1
872,0
873,0
874,0
875,1
876,0
877,1
878,0
879,0
880,0
881,1
882,1
883,0
884,0
885,1
886,0
887,0
888,1
889,0
890,0
891,1
892,0
893,1
894,0
895,0
896,0
897,0
898,1
899,0
900,0
901,0
902,1
903,1
904,0
905,0
906,1
907,1
908,0
909,1
910,0
911,0
912,0
913,0
914,1
915,0
916,0
917,0
918,1
919,1
920,1
921,0
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,0
932,1
933,1
934,1
935,0
936,1
937,1
938,1
939,1
940,0
941,1
942,0
943,0
944,0
945,0
946,0
947,1
948,1
949,1
950,0
951,0
952,0
953,1
954,0
955,0
956,0
957,0
958,1
959,0
960,0
961,1
962,0
963,1
964,1
965,1
966,0
967,0
968,0
969,0
970,0
971,1
972,0
973,1
974,1
975,1
976,0
977,1
978,0
979,0
980,1
981,1
982,0
983,1
984,0
985,0
986,0
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,0
996,0
997,1
998,0
999,1
1000,0
1001,0
1002,1
1003,0
1004,1
1005,0
1006,1
1007,0
1008,1
1009,0
1010,0
1011,0
1012,1
1013,0
1014,0
1015,1
1016,1
1017,1
1018,0
1019,1
1020,1
1021,1
1022,0
1023,1
1024,1
1025,0
1026,1
1027,1
1028,0
1029,0
1030,0
1031,1
1032,1
1033,1
1034,0
1035,0
1036,1
1037,1
1038,0
1039,0
1040,0
1041,1
1042,1
1043,1
1044,1
1045,0
1046,1
1047,0
1048,0
1049,0
1050,1
1051,1
1052,1
1053,0
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,0
1062,0
1063,0
1064,0
1065,1
1066,1
1067,1
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,1
1075,1
1076,1
1077,0
1078,0
1079,0
1080,0
1081,0
1082,1
1083,0
1084,1
1085,0
1086,0
1087,1
1088,0
1089,1
1090,0
1091,0
1092,0
1093,0
1094,0
1095,1
1096,0
1097,1
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,0
1113,0
1114,0
1115,1
1116,1
1117,0
1118,0
1119,0
1120,0
1121,1
1122,0
1123,0
1124,1
1125,0
1126,1
1127,1
1128,1
1129,0
1130,0
1131,0
1132,0
1133,1
1134,1
1135,0
1136,0
1137,0
1138,1
1139,0
1140,0
1141,1
1142,1
1143,0
1144,0
1145,0
1146,1
1147,1
1148,0
1149,0
1150,0
1151,0
1152,1
1153,0
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,0
1161,1
1162,0
1163,0
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,1
1171,0
1172,1
1173,1
1174,1
1175,1
1176,0
1177,0
1178,0
1179,0
1180,1
1181,1
1182,1
1183,0
1184,1
1185,0
1186,0
1187,1
1188,1
1189,1
1190,1
1191,1
1192,0
1193,1
1194,0
1195,1
1196,1
1197,0
1198,1
1199,0
1200,0
1201,1
1202,0
1203,1
1204,0
1205,1
1206,0
1207,1
1208,0
1209,1
1210,1
1211,1
1212,0
1213,0
1214,0
1215,0
1216,0
1217,1
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,1
1225,0
1226,1
1227,0
1228,1
1229,0
1230,1
1231,0
1232,0
1233,0
1234,0
1235,0
1236,1
1237,1
1238,0
1239,1
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,0
1249,0
1250,1
1251,1
1252,0
1253,1
1254,1
1255,0
1256,1
1257,0
1258,1
1259,0
1260,1
1261,0
1262,0
1263,1
1264,1
1265,1
1266,0
1267,1
1268,1
1269,0
1270,1
1271,1
1272,0
1273,1
1274,0
1275,0
1276,0
1277,1
1278,1
1279,0
1280,1
1281,1
1282,0
1283,0
1284,1
1285,0
1286,0
1287,1
1288,1
1289,1
1290,1
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,1
1301,1
1302,1
1303,1
1304,0
1305,1
1306,1
1307,0
1308,0
1309,1
1310,1
1311,1
1312,1
1313,1
1314,0
1315,1
1316,1
1317,1
1318,1
1319,0
1320,0
1321,0
1322,1
1323,0
1324,0
1325,0
1326,0
1327,0
1328,1
1329,1
1330,1
1331,0
1332,0
1333,0
1334,0
1335,1
1336,0
1337,0
1338,1
1339,0
1340,0
1341,0
1342,1
1343,1
1344,0
1345,0
1346,1
1347,1
1348,1
1349,0
1350,1
1351,1
1352,0
1353,1
1354,1
1355,1
1356,0
1357,0
1358,1
1359,1
1360,1
1361,1
1362,0
1363,0
1364,0
1365,1
1366,1
1367,0
1368,0
1369,1
1370,0
1371,1
1372,1
1373,1
1374,1
1375,1
1376,0
1377,0
1378,0
1379,1
1380,0
1381,1
1382,0
1383,0
1384,0
1385,0
1386,1
1387,0
1388,1
1389,0
1390,1
1391,0
1392,0
1393,0
1394,1
1395,1
1396,0
1397,0
1398,0
1399,0
1400,0
1401,1
1402,1
1403,1
1404,0
1405,1
1406,0
1407,0
1408,0
1409,1
1410,1
1411,0
1412,0
1413,1
1414,1
1415,1
1416,0
1417,1
1418,0
1419,1
1420,1
1421,0
1422,0
1423,1
1424,0
1425,0
1426,1
1427,0
1428,0
1429,1
1430,1
1431,0
1432,0
1433,1
1434,0
1435,1
1436,0
1437,1
1438,0
1439,1
1440,1
1441,0
1442,1
1443,0
1444,1
1445,0
1446,0
1447,1
1448,0
1449,0
1450,0
1451,1
1452,0
1453,0
1454,1
1455,1
1456,1
1457,1
1458,0
1459,0
